alpha,gamma,epsilon_decay,sessions,best_length,best_duration,mean_length,mean_duration
0.05,0.95,0.98,200,14,75,3.68,10.355
0.1,0.95,0.98,200,12,82,3.795,11.095
0.05,0.9,0.98,200,11,102,3.61,10.71
0.2,0.9,0.98,200,10,400,3.67,13.02
0.1,0.8,0.98,200,10,124,3.86,12.22
0.2,0.8,0.98,200,10,89,3.785,10.795
0.1,0.9,0.98,200,9,72,3.48,9.355
0.05,0.8,0.98,200,8,80,3.66,10.07
0.2,0.95,0.98,200,7,62,3.425,9.175
0.1,0.8,0.995,200,6,58,3.15,5.1
0.2,0.8,0.995,200,6,48,3.05,4.15
0.1,0.95,0.995,200,6,39,3.145,5.28
0.1,0.9,0.995,200,6,34,3.175,5.045
0.05,0.8,0.995,200,5,70,3.11,5.015
0.05,0.95,0.995,200,5,61,3.11,4.68
0.05,0.9,0.995,200,5,59,3.135,5.775
0.2,0.9,0.995,200,5,44,3.105,4.095
0.2,0.95,0.995,200,5,37,3.145,4.995
